เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,1,-,-,ท 1.1 ป.1/1,อ่านออกเสียงคํา คําคล้องจอง และข้อความสั้น ๆ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.1/3,ตอบคําถามเกี่ยวกับเรื่องที่อ่าน,ท 1.1 ป.1/2,บอกความหมายของคํา และข้อความที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.1/4,เล่าเรื่องย่อจากเรื่องที่อ่าน,ท 1.1 ป.1/7,บอกความหมายของเครื่องหมายหรือสัญลักษณ์สําคัญที่มักพบเห็นในชีวิตประจําวัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.1/5,คาดคะเนเหตุการณ์จากเรื่องที่อ่าน,ท 1.1 ป.1/7,บอกความหมายของเครื่องหมายหรือสัญลักษณ์สําคัญที่มักพบเห็นในชีวิตประจําวัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.1/6,อ่านหนังสือตามความสนใจอย่างสม่ําเสมอ และนําเสนอเรื่องที่อ่าน,ท 1.1 ป.1/7,บอกความหมายของเครื่องหมายหรือสัญลักษณ์สําคัญที่มักพบเห็นในชีวิตประจําวัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.1/8,มีมารยาทในการอ่าน,ท 1.1 ป.1/7,บอกความหมายของเครื่องหมายหรือสัญลักษณ์สําคัญที่มักพบเห็นในชีวิตประจําวัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 2,ท 2.1,2.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,3,ท 2.1 ป.1/1,คัดลายมือตัวบรรจงเต็มบรรทัด,ท 2.1 ป.1/2,เขียนสื่อสารด้วยคํา และประโยคง่าย ๆ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,3,ท 2.1 ป.1/3,มีมารยาทในการเขียน,ท 2.1 ป.1/2,เขียนสื่อสารด้วยคํา และประโยคง่าย ๆ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,3,ท 4.1 ป.1/1,บอกและเขียนพยัญชนะ สระ วรรณยุกต์ และเลขไทย,ท 2.1 ป.1/2,เขียนสื่อสารด้วยคํา และประโยคง่าย ๆ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,3,ท 4.1 ป.1/2,เขียนสะกดคําและบอกความหมาย ของคํา,ท 2.1 ป.1/2,เขียนสื่อสารด้วยคํา และประโยคง่าย ๆ
